hjd,camera,mag,mag_err,flux,flux_err
2457198.81173,bf,14.822,0.03586,4.52,0.149
2457399.55932,bf,14.632,0.03196,5.384,0.158
2458082.70716,bf,14.762,0.03454,4.775,0.152
2457306.81112,bf,14.885,0.03733,4.267,0.147
2457387.60654,bf,14.721,0.03369,4.96,0.154
2457773.54196,bf,14.659,0.03247,5.25,0.157
2456858.84549,bf,14.718,0.03363,4.973,0.154
2457735.65813,bf,14.529,0.03017,5.919,0.164
2457670.75307,bf,14.754,0.03437,4.811,0.152
2458011.61439,bf,14.67,0.03268,5.198,0.156
2457327.73817,bf,14.651,0.03232,5.292,0.157
2458035.84021,bf,14.695,0.03317,5.081,0.155
2457659.62739,bf,14.812,0.03564,4.563,0.15
2458091.56269,bf,14.63,0.03193,5.394,0.158
2458308.87689,bf,14.725,0.03377,4.944,0.154
2457253.68683,bf,14.645,0.0322,5.321,0.158
2456994.56843,bf,14.903,0.03777,4.194,0.146
2456876.77241,bf,14.865,0.03686,4.343,0.147
2456872.79689,bf,14.645,0.0322,5.318,0.158
2456887.85072,bf,14.744,0.03416,4.858,0.153
2457278.77468,bf,14.781,0.03495,4.696,0.151
2457152.9159,bf,14.661,0.03251,5.243,0.157
2458342.82904,bf,14.707,0.03341,5.026,0.154
2457691.6219,bf,14.75,0.03429,4.829,0.152
2457283.66994,bf,14.929,0.03842,4.097,0.145
2457710.57117,bf,14.893,0.03753,4.235,0.146
2457615.66879,bf,14.828,0.036,4.496,0.149
2457378.59028,bf,14.79,0.03515,4.656,0.151
2456809.86471,bf,14.768,0.03467,4.752,0.152
2458369.79341,bf,14.773,0.03478,4.728,0.151
2457347.58745,bf,14.673,0.03274,5.186,0.156
2456919.69155,bf,14.746,0.03421,4.845,0.152
2457750.54062,bf,14.685,0.03297,5.128,0.156
2457669.5713,bf,14.636,0.03204,5.365,0.158
2457206.85108,bf,14.585,0.03112,5.62,0.161
2457269.76567,bf,14.952,0.039,4.01,0.144
2457158.90229,bf,14.772,0.03476,4.733,0.151
2458325.89795,bf,14.702,0.03331,5.046,0.155
2457003.55652,bf,14.771,0.03474,4.735,0.151
2457297.53649,bf,14.901,0.03772,4.202,0.146
2457576.85792,bf,14.88,0.03721,4.286,0.147
2457702.75202,bf,14.595,0.03129,5.569,0.16
2456792.89288,bf,14.721,0.03369,4.962,0.154
2456878.66662,bf,14.72,0.03367,4.964,0.154
2458344.77723,bf,14.811,0.03561,4.565,0.15
2458007.59143,bf,14.724,0.03375,4.948,0.154
2457719.67046,bf,14.686,0.03299,5.123,0.155
2457739.55747,bf,14.639,0.03209,5.351,0.158
2457608.81693,bf,14.74,0.03408,4.872,0.153
2456896.72945,bf,14.62,0.03174,5.443,0.159
2457951.80792,bf,14.86,0.03674,4.366,0.148
2456959.61605,bf,14.843,0.03634,4.434,0.148
2457953.84654,bf,14.754,0.03437,4.812,0.152
2457746.55174,bf,14.821,0.03584,4.522,0.149
2458102.64922,bf,14.67,0.03268,5.201,0.156
2458018.66752,bf,14.824,0.03591,4.512,0.149
2457031.56897,bf,14.814,0.03568,4.553,0.149
2457960.73205,bf,14.655,0.03239,5.271,0.157
